asessor,Search Type,Source,Http,Title,Year,Type,Venue,Core,Abstract,Keywords,Citation,,,,,
HELLDFJDSA;LFJSD;LKFJDSDFHELLOLWOROLD WE ARE HERE TO FIND OUYT77777FF,Initial hypotheses,Google Scholar,https://ieeexplore.ieee.org/abstract/document/9953983,Analysis of Continual Learning Models for Intrusion Detection System,2022,Review,IEEE Access,A*,"Deep Learning based Intrusion Detection Systems (IDSs) have received significant attention  from the research community for their capability to handle modern-day security systems in large-scale  networks. Despite their considerable improvement in performance over machine learning-based techniques  and conventional statistical models, deep neural networks (DNN) suffer from catastrophic forgetting: the  model forgets previously learned information when trained on newer data points. This vulnerability is  specifically exaggerated in large scale systems due to the frequent changes in network architecture and  behaviours, which leads to changes in data distribution and the introduction of zero-day attacks; this  phenomenon is termed as covariate shift. Due to these constant changes in the data distribution, the DNN  models will not be able to consistently perform at high accuracy and low false positive rate (FPR) rates  without regular updates. However, before we update the DNN models, it is essential to understand the  magnitude and nature of the drift in the data distribution. In this paper, to analyze the drift in data distribution,  we propose an eight-stage statistics and machine learning guided implementation framework that objectively  studies and quantifies the changes. Further, to handle the changes in data distribution, most IDS solutions  collect the network packets and store them to retrain the DNN models periodically, but when the network’s  size and complexity increase, those tasks become expensive. To efficiently solve this problem, we explore  the potential of continual learning models to incrementally learn new data patterns while also retaining  their previous knowledge. We perform an experimental and analytical study of advanced intrusion detection  systems using three major continual learning approaches: learning without forgetting, experience replay, and  dark experience replay on the NSL-KDD and the CICIDS 2017 dataset. Through extensive experimentation,  we show that our continual learning models achieve improved accuracy and lower FPR rates when compared  to the state-of-the-art works while also being able to incrementally learn newer data patterns. Finally,  we highlight the drawbacks of traditional statistical and non-gradient based machine learning approaches  in handling the covariate shift problem.","Intrusion detection systems, catastrophic forgetting, covariate shift, continual learning.",22,,,,"Deep Learning based Intrusion Detection Systems (IDSs) have received significant attention  from the research community for their capability to handle modern-day security systems in large-scale  networks. Despite their considerable improvement in performance over machine learning-based techniques  and conventional statistical models, deep neural networks (DNN) suffer from catastrophic forgetting: the  model forgets previously learned information when trained on newer data points. This vulnerability is  specifically exaggerated in large scale systems due to the frequent changes in network architecture and  behaviours, which leads to changes in data distribution and the introduction of zero-day attacks; this  phenomenon is termed as covariate shift. Due to these constant changes in the data distribution, the DNN  models will not be able to consistently perform at high accuracy and low false positive rate (FPR) rates  without regular updates. However, before we update the DNN models, it is essential to understand the  magnitude and nature of the drift in the data distribution. In this paper, to analyze the drift in data distribution,  we propose an eight-stage statistics and machine learning guided implementation framework that objectively  studies and quantifies the changes. Further, to handle the changes in data distribution, most IDS solutions  collect the network packets and store them to retrain the DNN models periodically, but when the network’s  size and complexity increase, those tasks become expensive. To efficiently solve this problem, we explore  the potential of continual learning models to incrementally learn new data patterns while also retaining  their previous knowledge. We perform an experimental and analytical study of advanced intrusion detection  systems using three major continual learning approaches: learning without forgetting, experience replay, and  dark experience replay on the NSL-KDD and the CICIDS 2017 dataset. Through extensive experimentation,  we show that our continual learning models achieve improved accuracy and lower FPR rates when compared  to the state-of-the-art works while also being able to incrementally learn newer data patterns. Finally,  we highlight the drawbacks of traditional statistical and non-gradient based machine learning approaches  in handling the covariate shift problem.",High
-H--SD00(,Initial hypotheses,Google Scholar,https://ieeexplore.ieee.org/abstract/document/9064134,Continuous and Adaptive Learning over Big Streaming Data for Network Security,2019,Research Paper,IEEE International Conference on Cloud Networking (CloudNet),N/A,"Continuous and adaptive learning is an effective learning approach when dealing with highly dynamic and changing scenarios, where concept drift often happens. In a continuous, stream or adaptive learning setup, new measurements arrive continuously and there are no boundaries for learning, meaning that the learning model has to decide how and when to (re)learn from these new data constantly. We address the problem of adaptive and continual learning for network security, building dynamic models to detect network attacks in real network traffic. The combination of fast and big network measurements data with the re-training paradigm of adaptive learning imposes complex challenges in terms of data processing speed, which we tackle by relying on big data platforms for parallel stream processing. We build and benchmark different adaptive learning models on top of a novel big data analytics platform for network traffic monitoring and analysis tasks, and show that high speed-up computations (as high as × 6) can be achieved by parallelizing off-the-shelf stream learning approaches.","Stream Machine Learning; Network Security; Big-Data.",8,,,,"Continuous and adaptive learning is an effective learning approach when dealing with highly dynamic and changing scenarios, where concept drift often happens. In a continuous, stream or adaptive learning setup, new measurements arrive continuously and there are no boundaries for learning, meaning that the learning model has to decide how and when to (re)learn from these new data constantly. We address the problem of adaptive and continual learning for network security, building dynamic models to detect network attacks in real network traffic. The combination of fast and big network measurements data with the re-training paradigm of adaptive learning imposes complex challenges in terms of data processing speed, which we tackle by relying on big data platforms for parallel stream processing. We build and benchmark different adaptive learning models on top of a novel big data analytics platform for network traffic monitoring and analysis tasks, and show that high speed-up computations (as high as × 6) can be achieved by parallelizing off-the-shelf stream learning approaches.",High
Amir Bidaki,Initial hypotheses,Google Scholar,https://dl.acm.org/doi/abs/10.1145/3229607.3229612,Stream-based Machine Learning for Network Security and Anomaly Detection,2018,Research Paper,SIGCOMM,A*,"Continuous and adaptive learning is an effective  learning approach when dealing with highly dynamic and changing scenarios, where concept drift often happens. In a continuous,  stream or adaptive learning setup, new measurements arrive  continuously and there are no boundaries for learning, meaning  that the learning model has to decide how and when to (re)learn  from these new data constantly. We address the problem of  adaptive and continual learning for network security, building  dynamic models to detect network attacks in real network traffic.  The combination of fast and big network measurements data with  the re-training paradigm of adaptive learning imposes complex  challenges in terms of data processing speed, which we tackle by  relying on big data platforms for parallel stream processing. We  build and benchmark different adaptive learning models on top of  a novel big data analytics platform for network traffic monitoring  and analysis tasks, and show that high speed-up computations  (as high as × 6) can be achieved by parallelizing off-the-shelf  stream learning approaches.","Data Stream mining; Machine Learning; Network Attacks; HighDimensional Data.",58,,,,"Continuous and adaptive learning is an effective  learning approach when dealing with highly dynamic and changing scenarios, where concept drift often happens. In a continuous,  stream or adaptive learning setup, new measurements arrive  continuously and there are no boundaries for learning, meaning  that the learning model has to decide how and when to (re)learn  from these new data constantly. We address the problem of  adaptive and continual learning for network security, building  dynamic models to detect network attacks in real network traffic.  The combination of fast and big network measurements data with  the re-training paradigm of adaptive learning imposes complex  challenges in terms of data processing speed, which we tackle by  relying on big data platforms for parallel stream processing. We  build and benchmark different adaptive learning models on top of  a novel big data analytics platform for network traffic monitoring  and analysis tasks, and show that high speed-up computations  (as high as × 6) can be achieved by parallelizing off-the-shelf  stream learning approaches.",High
Amir Bidaki,Initial hypotheses,Google Scholar,https://repository.rit.edu/theses/11758/,Continual Learning for an Ever Evolving and Intelligent Malware Classification System,2024,PHD Dissertation,-,N/A,"Malware classification poses unique challenges for continual learning (CL) systems, driven by  the daily influx of new samples and the evolving nature of malware threats that exploit new  vulnerabilities. Antivirus vendors encounter hundreds of thousands of unique software pieces  daily, encompassing both malicious and benign files. Over its operational life, a malware  classifier can accumulate more than a billion samples. Training malware classification system  with only new samples and classes leads to catastrophic forgetting (CF), where the system  forgets previously learned data distribution. While retraining with all old and new samples  effectively combats CF, it is computationally expensive and necessitates storing vast amounts  of older software and malware samples. Employing sequential training with CL strategies  offers a potential solution to mitigate these challenges by reducing both training and storage  demands. However, the adoption of CL for malware classification has not been extensively  explored. This work represents the first in-depth examination of CL not just in the realm of  malware classification, but also more broadly within the cybersecurity domain.",Malware (Computer software)--Classification; Transfer learning (Machine learning); Cyberterrorism--Prevention,0,,,,"Malware classification poses unique challenges for continual learning (CL) systems, driven by  the daily influx of new samples and the evolving nature of malware threats that exploit new  vulnerabilities. Antivirus vendors encounter hundreds of thousands of unique software pieces  daily, encompassing both malicious and benign files. Over its operational life, a malware  classifier can accumulate more than a billion samples. Training malware classification system  with only new samples and classes leads to catastrophic forgetting (CF), where the system  forgets previously learned data distribution. While retraining with all old and new samples  effectively combats CF, it is computationally expensive and necessitates storing vast amounts  of older software and malware samples. Employing sequential training with CL strategies  offers a potential solution to mitigate these challenges by reducing both training and storage  demands. However, the adoption of CL for malware classification has not been extensively  explored. This work represents the first in-depth examination of CL not just in the realm of  malware classification, but also more broadly within the cybersecurity domain.",High
Amir Bidaki,Initial hypotheses,Google Scholar,https://www.mdpi.com/2504-4990/6/4/135,Continual Semi-Supervised Malware Detection,2024,Research Paper,Machine Learning and Knowledge Extraction,N/A,"Detecting malware has become extremely important with the increasing exposure of computational systems and mobile devices to online services. However, the rapidly evolving nature of malicious software makes this task particularly challenging. Despite the significant number of machine learning works for malware detection proposed in the last few years, limited interest has been devoted to continual learning approaches, which could allow models to showcase effective performance in challenging and dynamic scenarios while being computationally efficient. Moreover, most of the research works proposed thus far adopt a fully supervised setting, which relies on fully labelled data and appears to be impractical in a rapidly evolving malware landscape. In this paper, we address malware detection from a continual semi-supervised one-class learning perspective, which only requires normal",continual learning; malware detection; semi supervised learning; one-class learning; anomaly detection,0,,,,"Detecting malware has become extremely important with the increasing exposure of computational systems and mobile devices to online services. However, the rapidly evolving nature of malicious software makes this task particularly challenging. Despite the significant number of machine learning works for malware detection proposed in the last few years, limited interest has been devoted to continual learning approaches, which could allow models to showcase effective performance in challenging and dynamic scenarios while being computationally efficient. Moreover, most of the research works proposed thus far adopt a fully supervised setting, which relies on fully labelled data and appears to be impractical in a rapidly evolving malware landscape. In this paper, we address malware detection from a continual semi-supervised one-class learning perspective, which only requires normal",Medium
Amir Bidaki,Initial hypotheses,Google Scholar,https://proceedings.mlr.press/v199/rahman22a.html,On the Limitations of Continual Learning for Malware Classification,2022,Research Paper,PMLR ,N/A,"Malicious software (malware) classification offers a unique challenge for continual learning (CL) regimes due to the volume of new samples received on a daily basis and the evolution of malware to exploit new vulnerabilities. On a typical day, antivirus vendors receive hundreds of thousands of unique pieces of software, both malicious and benign, and over the course of the lifetime of a malware classifier, more than a billion samples can easily accumulate. Given the scale of the problem, sequential training using continual learning techniques could provide substantial benefits in reducing training and storage overhead. To date, however, there has been no exploration of CL applied to malware classification tasks. In this paper, we study 11 CL techniques applied to three malware tasks covering common incremental learning scenarios, including task, class, and domain incremental learning (IL). Specifically, using two realistic, large-scale malware datasets, we evaluate the performance of the CL methods on both binary malware classification (Domain-IL) and multi-class malware family classification (Task-IL and Class-IL) tasks. To our surprise, continual learning methods significantly underperformed naive {\em Joint} replay of the training data in nearly all settings – in some cases reducing accuracy by more than 70 percentage points. A simple approach of selectively replaying 20% of the stored data achieves better performance, with 50% of the training time compared to {\em Joint} replay. Finally, we discuss potential reasons for the unexpectedly poor performance of the CL techniques, with the hope that it spurs further research on developing techniques that are more effective in the malware classification domain.",,9,,,,"Malicious software (malware) classification offers a unique challenge for continual learning (CL) regimes due to the volume of new samples received on a daily basis and the evolution of malware to exploit new vulnerabilities. On a typical day, antivirus vendors receive hundreds of thousands of unique pieces of software, both malicious and benign, and over the course of the lifetime of a malware classifier, more than a billion samples can easily accumulate. Given the scale of the problem, sequential training using continual learning techniques could provide substantial benefits in reducing training and storage overhead. To date, however, there has been no exploration of CL applied to malware classification tasks. In this paper, we study 11 CL techniques applied to three malware tasks covering common incremental learning scenarios, including task, class, and domain incremental learning (IL). Specifically, using two realistic, large-scale malware datasets, we evaluate the performance of the CL methods on both binary malware classification (Domain-IL) and multi-class malware family classification (Task-IL and Class-IL) tasks. To our surprise, continual learning methods significantly underperformed naive {\em Joint} replay of the training data in nearly all settings – in some cases reducing accuracy by more than 70 percentage points. A simple approach of selectively replaying 20% of the stored data achieves better performance, with 50% of the training time compared to {\em Joint} replay. Finally, we discuss potential reasons for the unexpectedly poor performance of the CL techniques, with the hope that it spurs further research on developing techniques that are more effective in the malware classification domain.",High
Amir Bidaki,Initial hypotheses,Google Scholar,https://dl.acm.org/doi/abs/10.1145/3702990,Temporal-Incremental Learning for Android Malware Detection,2024,Research Paper,ACM Transactions on Software Engineering and Methodology,A*,"Malware classification is a specific and refined task within the broader malware detection problem. Effective classification aids in understanding attack techniques and developing robust defenses, ensuring application security and timely mitigation of software vulnerabilities. The dynamic nature of malware demands adaptive classification techniques that can handle the continuous emergence of new families. Traditionally, this is done by retraining models on all historical samples, which requires significant resources in terms of time and storage. An alternative approach is Class-Incremental Learning (CIL), which focuses on progressively learning new classes (malware families) while preserving knowledge from previous training steps. However, CIL assumes that each class appears only once in training and is not revisited, an assumption that does not hold for malware families, which often persist across multiple time intervals. This leads to shifts in the data distribution for the same family over time, a challenge that is not addressed by traditional CIL methods. We formulate this problem as Temporal-Incremental Malware Learning (TIML), which adapts to these shifts and effectively classifies new variants. To support this, we organize the MalNet dataset, consisting of over a million entries of Android malware data collected over a decade, in chronological order. We first adapt state-of-the-art CIL approaches to meet TIML's requirements, serving as baseline methods. Then, we propose a novel multimodal TIML approach that leverages multiple malware modalities for improved performance. Extensive evaluations show that our TIML approaches outperform traditional CIL methods and demonstrate the feasibility of periodically updating malware classifiers at a low cost. This process is efficient and requires minimal storage and computational resources, with only a slight dip in performance compared to full retraining with historical data.","Malware Classification, Incremental Learning",1,,,,"Malware classification is a specific and refined task within the broader malware detection problem. Effective classification aids in understanding attack techniques and developing robust defenses, ensuring application security and timely mitigation of software vulnerabilities. The dynamic nature of malware demands adaptive classification techniques that can handle the continuous emergence of new families. Traditionally, this is done by retraining models on all historical samples, which requires significant resources in terms of time and storage. An alternative approach is Class-Incremental Learning (CIL), which focuses on progressively learning new classes (malware families) while preserving knowledge from previous training steps. However, CIL assumes that each class appears only once in training and is not revisited, an assumption that does not hold for malware families, which often persist across multiple time intervals. This leads to shifts in the data distribution for the same family over time, a challenge that is not addressed by traditional CIL methods. We formulate this problem as Temporal-Incremental Malware Learning (TIML), which adapts to these shifts and effectively classifies new variants. To support this, we organize the MalNet dataset, consisting of over a million entries of Android malware data collected over a decade, in chronological order. We first adapt state-of-the-art CIL approaches to meet TIML's requirements, serving as baseline methods. Then, we propose a novel multimodal TIML approach that leverages multiple malware modalities for improved performance. Extensive evaluations show that our TIML approaches outperform traditional CIL methods and demonstrate the feasibility of periodically updating malware classifiers at a low cost. This process is efficient and requires minimal storage and computational resources, with only a slight dip in performance compared to full retraining with historical data.",Medium
Amir Bidaki,Initial hypotheses,Google Scholar,https://www.mdpi.com/2076-3417/13/22/12255,SSCL-TransMD: Semi-Supervised Continual Learning Transformer for Malicious Software Detection,2023,Research Paper,Applied Sciences,N/A,"Machine learning-based malware (malicious software) detection methods have a wide range of real-world applications. However, these types of approaches suffer from the fatal problem of “model aging”, in which the validity of the model decreases rapidly as the malware continues to evolve and variants emerge continuously. The model aging problem is usually solved by model retraining, which relies on lots of labeled samples obtained at great expense. To address this challenge, this paper proposes a semi-supervised continuous learning malware detection model based on Transformer. Firstly, this model improves the lifelong semi-supervised mixture algorithm to dynamically adjust the weighted combination of new sample sequences and historical ones to solve the imbalance problem. Secondly, the Learning with Local and Global Consistency algorithm is used to iteratively compute similarity scores for the unlabeled samples in the mixed samples to obtain pseudo-labels. Lastly, the Multilayer Perceptron is applied for malware classification. To validate the effectiveness of the model, this paper conducts experiments on the CICMalDroid2020 dataset. The experimental results show that the proposed model performs better than existing deep learning detection models. The F1 score has an average improvement of 1.27% compared to other models when conducting binary classification. And, after inputting hybrid samples, including historical data and new data, four times, the F1 score is still 1.96% higher than other models.",android malware detection; deep learning; transformer; semi-supervised continual learning,2,,,,"Machine learning-based malware (malicious software) detection methods have a wide range of real-world applications. However, these types of approaches suffer from the fatal problem of “model aging”, in which the validity of the model decreases rapidly as the malware continues to evolve and variants emerge continuously. The model aging problem is usually solved by model retraining, which relies on lots of labeled samples obtained at great expense. To address this challenge, this paper proposes a semi-supervised continuous learning malware detection model based on Transformer. Firstly, this model improves the lifelong semi-supervised mixture algorithm to dynamically adjust the weighted combination of new sample sequences and historical ones to solve the imbalance problem. Secondly, the Learning with Local and Global Consistency algorithm is used to iteratively compute similarity scores for the unlabeled samples in the mixed samples to obtain pseudo-labels. Lastly, the Multilayer Perceptron is applied for malware classification. To validate the effectiveness of the model, this paper conducts experiments on the CICMalDroid2020 dataset. The experimental results show that the proposed model performs better than existing deep learning detection models. The F1 score has an average improvement of 1.27% compared to other models when conducting binary classification. And, after inputting hybrid samples, including historical data and new data, four times, the F1 score is still 1.96% higher than other models.",Medium
Amir Bidaki,Automatic,Springer,http://link.springer.com/article/10.1007/s13042-024-02486-9,ExBCIL: an exemplar-based class incremental learning for intrusion detection system,2024,Type,International Journal of Machine Learning and Cybernetics,Core,"Classical Network intrusion detection systems (N-IDSs) produce fairly accurate attack detection rates. However, these models operate in a static environment, which restricts the model’s update once they are deployed. The use of Continual Learning (CL) approaches provides a mechanism to accumulate old knowledge while continually adapting to the latest intrusions and better handling the dynamic environment. Replay-based continual learning proves to be a practical approach when working in a dynamic environment, and thus, our work extends the existing replay-based approach. However, the major challenge is to keep informative candidate vectors in episodic memory for replay purposes to mitigate catastrophic forgetting. It is essential to capture diverse samples for better class representation. In this work, we present a novel exemplar-based class incremental learning (ExBCIL) for intrusion detection, which updates the model in increments by keeping a small subset of past attack samples. However, it is challenging to select the most appropriate attack samples for the replay. While marking the importance of a sample, we consider both the discrimination and representation power of it. To improve the overall performance of learning and to detect emerging intrusions, we aim to keep a more diverse set of attack samples. We use the CICIDS2017, CICIDS2018, and UNSWNB-15 datasets to evaluate the model performance and compare the performance with other existing algorithms. The ExBCIL witnesses significant improvement in intrusion classification, with an average incremental accuracy of 95.6875±3.27%95.6875 \pm 3.27\%, an average score of 95.5±3.04%95.5 \pm 3.04\%, and a performance (accuracy) drop of 7.91%7.91\%.",Artificial Intelligence,0,,,,"Classical Network intrusion detection systems (N-IDSs) produce fairly accurate attack detection rates. However, these models operate in a static environment, which restricts the model’s update once they are deployed. The use of Continual Learning (CL) approaches provides a mechanism to accumulate old knowledge while continually adapting to the latest intrusions and better handling the dynamic environment. Replay-based continual learning proves to be a practical approach when working in a dynamic environment, and thus, our work extends the existing replay-based approach. However, the major challenge is to keep informative candidate vectors in episodic memory for replay purposes to mitigate catastrophic forgetting. It is essential to capture diverse samples for better class representation. In this work, we present a novel exemplar-based class incremental learning (ExBCIL) for intrusion detection, which updates the model in increments by keeping a small subset of past attack samples. However, it is challenging to select the most appropriate attack samples for the replay. While marking the importance of a sample, we consider both the discrimination and representation power of it. To improve the overall performance of learning and to detect emerging intrusions, we aim to keep a more diverse set of attack samples. We use the CICIDS2017, CICIDS2018, and UNSWNB-15 datasets to evaluate the model performance and compare the performance with other existing algorithms. The ExBCIL witnesses significant improvement in intrusion classification, with an average incremental accuracy of 95.6875±3.27%95.6875 \pm 3.27\%, an average score of 95.5±3.04%95.5 \pm 3.04\%, and a performance (accuracy) drop of 7.91%7.91\%.",High
Amir Bidaki,Automatic,Springer,http://link.springer.com/article/10.1007/s11416-024-00536-y,Experts still needed: boosting long-term android malware detection with active learning,2024,Type,Journal of Computer Virology and Hacking Techniques,Core,"The continuous evolution of cyber threats imposes a critical challenge to malware detection systems, so operational detection solutions in real-world settings must keep up-to-date malware knowledge databases. Machine learning-based solutions are not exempt from this requirement as handling concept drift constitutes the primary building block for keeping high detection performance in the long term. However, maintaining non-stationary malware detection models is highly demanding due to the high cost of labeling. This study applies several active learning-based approaches for maintaining a non-stationary model for Android malware detection in a 7-year-long time frame and conducts a comprehensive analysis to understand the impact of feature space selection, different data balancing techniques, and timestamping methods, utilized for locating the instances along the historical timeline, on the model’s detection performance over time. The detection accuracy and labeling costs are compared with various baselines. Additionally, the study investigates the resilience of such models against noisy labeling, a common problem in production environments due to unintentional expert errors and adversarial attacks. This research fills a significant gap in the literature by conducting a comprehensive analysis of active learning approaches to address concept drift in non-stationary settings established for mobile malware detection.","Mobile malware
Android
Concept drift
Active learning
Malware detection
Machine learning
Data labeling",0,,,,"The continuous evolution of cyber threats imposes a critical challenge to malware detection systems, so operational detection solutions in real-world settings must keep up-to-date malware knowledge databases. Machine learning-based solutions are not exempt from this requirement as handling concept drift constitutes the primary building block for keeping high detection performance in the long term. However, maintaining non-stationary malware detection models is highly demanding due to the high cost of labeling. This study applies several active learning-based approaches for maintaining a non-stationary model for Android malware detection in a 7-year-long time frame and conducts a comprehensive analysis to understand the impact of feature space selection, different data balancing techniques, and timestamping methods, utilized for locating the instances along the historical timeline, on the model’s detection performance over time. The detection accuracy and labeling costs are compared with various baselines. Additionally, the study investigates the resilience of such models against noisy labeling, a common problem in production environments due to unintentional expert errors and adversarial attacks. This research fills a significant gap in the literature by conducting a comprehensive analysis of active learning approaches to address concept drift in non-stationary settings established for mobile malware detection.",Medium
